section,nom,type,debut,fin,dg,dt,cs,municipalite
39735000,,Route,7e et 8e rang ouest,9e et 10e rang,53.0,91.0,8.0,Rochebaucourt
4177001000,ROUTE GRAVEL,Route,rue des Érables,au centre du viaduc de l'autoroute 40,53.0,71.0,86.0,Neuville
44050009,00440-06-170-V1B0 (1273-) à la hauteur du boul. des Chutes,Bretelle,viaduc des chutes,A-00440 O,53.0,71.0,84.0,Québec
13951000,route 139,Route,autoroute 55,Début Bretelle C,53.0,64.0,8.0,Drummondville
6538501000,Rue Moreau,Route,route 219 (rue Pierre-Caisse),Rue Omer-Marcil et bretelles 35-02-040-32C0 et 32E0,53.0,86.0,11.0,Saint-Jean-sur-Richelieu
2526000,autoroute 25,Route,entre le musoir d'entrée et le musoir de sortie pour le rang du Grand-Côteau,limite de St-Roch-de-L'Achigan,56.0,29.0,2.0,Mascouche
13209500,ROUTE 132,Route,Venant du  pont Mercier,autoroute 730,56.0,29.0,2.0,TNO terrestre de la MRC de Roussillon
13291200,route 132,Route,route Scott,Rue Christie,53.0,63.0,9.0,Paspébiac
11646000,route 116,Route,boul. Kingsey Falls  (ancienne route 116),chemin de Warwick,53.0,64.0,7.0,Kingsey Falls
28550000,Boulevard Nilus-Leclerc,Route,autoroute 20,"route 132, à Notre-Dame Bon Secours",53.0,66.0,8.0,L'Islet
14123000,route 141,Route,autoroute 55,chemin de Fitch Bay,53.0,90.0,10.0,Sainte-Catherine-de-Hatley
S001541054,Bretelle 740N vers Quatre-Bourgeois,S,,,53.0,71.0,84.0,Québec
15857500,route 158,Route,route 347,autoroute 40,53.0,88.0,6.0,Sainte-Geneviève-de-Berthier
3039005,00030-03-121-35E0,Bretelle,VENANT AUT. 30 VERS LA RUE BOURGET.,Non-défini,53.0,86.0,10.0,Sorel-Tracy
13258500,route 132,Route,intersection route 132 / site d'observation,Rue Dubé,53.0,65.0,8.0,Rivière-du-Loup
7030000,autoroute 70,Route,rue René Lévesque,rue Mathias,53.0,68.0,6.0,Saguenay
23045000,Route 230,Route,accèss aut. 20,Halte Routière,53.0,65.0,9.0,Saint-Philippe-de-Néri
7145001000,,Route,route 133,rang Sarasteau (71553),53.0,86.0,10.0,Saint-Ours
28931000,route 289,Route,Rue des Peupliers,Rue du Rivage,53.0,65.0,9.0,Rivière-Bleue
7083005000,,Route,rang des Grands-Étangs (70671),aut. 20,53.0,86.0,10.0,La Présentation
1514800,autoroute 15,Route,Sortie 64 rue Sherbrooke,Entrée gauche venant de l'autoroute Ville-Marie ouest,56.0,29.0,2.0,Montréal
22632500,route 226,Route,à l'intersection nord-est de la route 259,Rang St-Joseph ou Rue Marquis,53.0,64.0,6.0,Saint-Célestin
4276001000,Chemin de la Grande-Ligne,Route,Avenue du Lac,route 371,53.0,71.0,84.0,Stoneham-et-Tewkesbury
14301000,ROUTE 143,Route,frontière  U.S.A.,rue Phelph,53.0,90.0,10.0,Stanstead
8659010000,rue de la Concorde,Route,route 175,bretelles entrée et sortie A-20 ouest,53.0,66.0,10.0,Lévis
2011701,00020-02-040-32C0,Bretelle,ENTREE BOUL. ST-JEAN NORD POUR A-20 EST,AUTOROUTE 20 EST,56.0,29.0,2.0,Pointe-Claire
28960000,route 289,Route,Rue de la Gare,Rg St- Édouard  Ouest ( Rg 1),53.0,65.0,9.0,Saint-Alexandre-de-Kamouraska
2061012,00020-06-130-31B0,Bretelle,INTERSECTION AVEC LA LIGNE DE CENTRE DE LA  ROUTE MGR BOURGET.,FIN DE LA LIGNE BLANCHE DISCONTINUE SUR AUT. 20.,53.0,66.0,10.0,Lévis
5024000,Autoroute 50,Route,route 317,Montée Papineau,53.0,89.0,6.0,Plaisance
1023702,000100301532B0,Bretelle,Autoroute 10 Ouest (S-123C),Route 112 Ouest et Route 249,53.0,90.0,8.0,Sherbrooke
5503900,00055-01-070-31A0,Bretelle,A55 nord (S-21),"Route 141, Ayer's Cliff",53.0,90.0,10.0,Sainte-Catherine-de-Hatley
74051002,Bretelle Lebourgneuf dir. est vers Robert-Bourassa dir. sud,Bretelle,Boul. Lebourgneuf dir est,A 740,53.0,71.0,84.0,Québec
10157000,route 101,Route,route de Ste-Germaine-Boulé,route 390,53.0,91.0,9.0,Sainte-Germaine-Boulé
2078002000,,Route,4e et 5e rangs,chemin rangs 9 et 10,53.0,91.0,9.0,Rivière-Ojima
8192202000,,Route,route du bas du 2e rang (79281),route Desrosiers (81848),53.0,64.0,6.0,Sainte-Cécile-de-Lévrard
7345075,Autoroute Henri IV,Route,sous échangeur Henri-IV,boul. Hochelaga,53.0,71.0,84.0,Québec
20533000,RUE HÉBERT,Route,rang Double (route 205 sud vers Saint-Urbain),"intersection sud-ouest de la route 138, à Sainte-Martine",53.0,86.0,13.0,Sainte-Martine
2004820,00020-01-070-31E0,Bretelle,A-20 ouest,Bretelle 00020-01-070-31F0 vers A-30 ouest,56.0,29.0,2.0,Vaudreuil-Dorion
1514207,Sortie - A-15 nord vers Boul. de la Vérendrye,Bretelle,entrée de la Vérendrye,A-15 Sud,56.0,29.0,2.0,Montréal
3640200500,,Route,Limite Saint-Charles de Mandeville,route Saint-Louis (36700),53.0,88.0,6.0,Saint-Damien
16140500,route 161,Route,rue Laurier,route 116,53.0,64.0,7.0,Saint-Christophe-d'Arthabaska
7362001,Bretelle F de Rte 371 vers A73 sud,Bretelle,Route 371,A-73 Sud,53.0,71.0,84.0,Stoneham-et-Tewkesbury
7771101000,Boulevard du Conseil,Route,route 255,Chemin du Lac,53.0,90.0,9.0,Asbestos
2516001,00025-01-051-31A0,Bretelle,Intersection A-25 Nord,Intersection centre Av. Roger-Lortie,56.0,29.0,2.0,Laval
29350000,route 293,Route,chemin 8 ième rang,route 296,53.0,65.0,8.0,Sainte-Françoise
36136000,,Route,autoroute 40,chemin du Village,53.0,70.0,7.0,Sainte-Geneviève-de-Batiscan
35807500,RG ST-JOSEPH,Route,autoroute 40,rue des Érables,53.0,71.0,86.0,Cap-Santé
16111500,route 161,Route,Route 263 - Rue Laval,Route 263 vers le nord,53.0,90.0,6.0,Nantes
15820000,route 158,Route,chemin Dunany,route 329 (à gauche),53.0,88.0,7.0,Lachute
4063002,A-40 et boulevard Raymond bretelle C,Bretelle,Intersection rue Clémenceau,00040-08-131-000G,53.0,71.0,84.0,Québec
22705000,RANG DE LA BAIE,Route,route 202,route 133,53.0,86.0,11.0,Venise-en-Québec
4050012,00040-07-100-31E0,Bretelle,A-40 Ouest,route365 (2e Rang) Neuville,53.0,71.0,86.0,Neuville
8967201000,Route Saint-Jean Nord,Route,ancienne autoroute 53,route 279,53.0,66.0,9.0,Sainte-Claire
5519000,autoroute 55,Route,boulevard Saint-Jean-De-Bréboeuf,route 122,53.0,64.0,8.0,Drummondville
22946000,BERNARD PILON,Route,chemin Trudeau,rang des Vingt,56.0,29.0,2.0,Saint-Mathieu-de-Beloeil
4669002000,RTE-ST-AUGUSTIN,Route,"Rte 169, Ste-Jeanne-D'Arc","Int. Rte de Milôt,   St-Augustin",53.0,68.0,8.0,Péribonka
